id,name,job
1,Aki Kaurismäki,Screenplay
2,Mika Kaurismäki,Producer
3,Albert Collins,Camera Operator
4,Allison Anders,Writer
5,Robert Rodriguez,Writer
6,Quentin Tarantino,Writer
7,Rodrigo García,Director of Photography
8,Chuck Jones,Creative Consultant
9,Sally Menke,Editor
10,Ziad Doueiri,First Assistant Camera
11,Guillermo Navarro,Director of Photography
12,Douglas Aarniokoski,First Assistant Director
13,Lawrence Bender,Producer
14,Marilyn Vance,Executive Producer
15,Alan Silvestri,Original Music Composer
16,Stephen Hopkins,Director
17,Phil Tippett,Animation
18,George Lucas,Director
19,John Williams,Original Music Composer
20,Rick McCallum,Producer
21,Gary Kurtz,Producer
22,Gilbert Taylor,Director of Photography
23,Gary Rydstrom,Sound Designer
24,Angus MacLane,Animation
25,Alan Barillaro,Animation Director
26,Ralph Eggleston,Production Design
27,Katherine Ringgold,Second Film Editor
28,Peter Sohn,Story
29,Tony Fucile,Visual Development
30,Jerome Ranft,Sculptor
31,Jeremy Lasky,Director of Photography
32,John Lasseter,Executive Producer
33,David Reynolds,Screenplay
34,Bob Peterson,Screenplay
35,Graham Walters,Producer
36,Lee Unkrich,Co-Director
37,Andrew Stanton,Original Story
38,Thomas Newman,Original Music Composer
39,Robert Zemeckis,Director
40,Eric Roth,Screenplay
41,Rick Carter,Production Design
42,Chris L. Spellman,Leadman
43,Leigh French,ADR & Dubbing
44,Charles Newirth,Co-Producer
45,Keith Campbell,Stunts
46,Lindsey Buckingham,Thanks
47,Randy Thom,Sound Re-Recording Mixer
48,Bud Davis,Stunt Coordinator
49,Conrad L. Hall,Director of Photography
50,Alan Ball,Screenplay
51,Naomi Shohan,Production Design
52,Sam Mendes,Director
53,Nicole Kidman,Thanks
54,Chris Douridas,Music Supervisor
55,Ana Maria Quintana,Script Supervisor
56,Paula Abdul,Choreographer
57,Mark Gordon,Dialogue Editor
58,Cristen Carr Strubbe,Unit Production Manager
59,Pete Townshend,Thanks
60,Bruce Cohen,Producer
61,Pandro S. Berman,Executive In Charge Of Production
62,Orson Welles,Screenplay
63,John Houseman,Writer
64,Van Nest Polglase,Art Direction
65,Robert Wise,Editor
66,Gregg Toland,Director of Photography
67,Bernard Herrmann,Original Music Composer
68,Tom Steele,Stunts
69,Mark Robson,Assistant Editor
70,Lars von Trier,Director
71,Friðrik Þór Friðriksson,Producer
72,Robby Müller,Director of Photography
73,Björk,Original Music Composer
74,Avy Kaufman,Casting
75,John Fawcett,Director
76,Paul W.S. Anderson,Producer
77,Jeremy Bolt,Producer
78,Gareth Milne,Stunt Coordinator
79,Iain Smith,Co-Producer
80,Pascal Chaumeil,Second Unit
81,Jean Paul Gaultier,Costume Design
82,Eric Serra,Original Music Composer
83,Robert Mark Kamen,Screenplay
84,Luc Besson,Story
85,Jean Giraud,Conceptual Design
86,Simon Atherton,Armorer
87,Thea von Harbou,Screenplay
88,Walter Ruttmann,Director of Photography
89,Fritz Lang,Editor
90,Karl Freund,Director of Photography
91,Edgar G. Ulmer,Set Designer
92,Erich Pommer,Producer
93,Isabel Coixet,Director
94,Pedro Almodóvar,Executive Producer
95,Agustín Almodóvar,Executive Producer
96,Bruce Brown,Director
97,Ted Elliott,Screenstory
98,Terry Rossio,Screenplay
99,Tom Waite,Stunts
100,Stuart Beattie,Screenstory
101,Ronna Kress,Casting
102,Derek R. Hill,Art Direction
103,Jerry Bruckheimer,Producer
104,Klaus Badelt,Original Music Composer
105,Christopher Boyes,Sound Designer
106,David Goldsmith,Video Assist Operator
107,Bruce Hendricks,Second Unit Cinematographer
108,Toby Bronson,Set Costumer
109,Chad Oman,Executive Producer
110,Gore Verbinski,Director
111,Cedric Nicolas-Troyan,Visual Effects
112,Robin De Lano,Casting Assistant
113,David Paris,Pilot
114,John Ross,Stunts
115,George Fisher,Stunts
116,Ve Neill,Makeup Department Head
117,Robert Richardson,Director of Photography
118,Mahiro Maeda,Animation
119,Bob Weinstein,Executive Producer
120,Harvey Weinstein,Executive Producer
121,RZA,Original Music Composer
122,Peter Bogdanovich,Thanks
123,Uma Thurman,Characters
124,Julie Dreyfus,Casting Associate
125,Gregory Nicotero,Makeup Effects
126,Bruce Del Castillo,Grip
127,Howard Berger,Makeup Effects
128,Jim Morrison,Original Music Composer
129,Roger Deakins,Director of Photography
130,William Broyles Jr.,Author
131,Mat Whitecross,Editor
132,Andrew Eaton,Producer
133,Michael Winterbottom,Author
134,Francis Ford Coppola,Director
135,Eddie Romero,Producer
136,Carmine Coppola,Original Music Composer
137,Vittorio Storaro,Director of Photography
138,Barrie M. Osborne,Production Manager
139,Kerry Rossall,Stunts
140,John Ashley,Producer
141,Joseph Conrad,Novel
142,Jerry Ziesmer,Assistant Director
143,John Milius,Screenplay
144,Zakir Hussain,Musician
145,Katsuhiro Ōtomo,Author
146,Kouji Morimoto,Director
147,Clint Eastwood,Director
148,Lloyd Nelson,Script Supervisor
149,Alex Green,Stunts
150,David Webb Peoples,Screenplay
151,Henry Bumstead,Production Design
152,Lennie Niehaus,Original Music Composer
153,Hans Zimmer,Original Music Composer
154,John Pomeroy,Animation
155,James L. Brooks,Producer
156,David Silverman,Director
157,Matt Groening,Producer
158,Al Jean,Producer
159,Mike Reiss,Screenplay
160,Mike Scully,Screenplay
161,David Mirkin,Screenplay
162,Anthony DeRosa,Animation
163,Michel Gondry,Story
164,Ellen Kuras,Director of Photography
165,Charlie Kaufman,Screenplay
166,Jon Brion,Original Music Composer
167,Alejandro González Iñárritu,Editor
168,Gerardo Albarrán,Stunts
169,Gustavo Santaolalla,Original Music Composer
170,Guillermo Arriaga,Producer
171,Guillermo del Toro,Editorial Coordinator
172,Alfonso Cuarón,Thanks
173,Carlos Cuarón,Thanks
174,Rodrigo Prieto,Director of Photography
175,Rodrigo Cortés,Thanks
176,Luis Mandoki,Thanks
177,Héctor Suárez,Thanks
178,Denise Chamian,Casting
179,Camille Friend,Hairstylist
180,Kent Alterman,Executive Producer
181,Toby Emmerich,Executive Producer
182,Howard Shore,Original Music Composer
183,David Cronenberg,Director
184,Stanley Kubrick,Screenplay
185,Anthony Masters,Production Design
186,Arthur C. Clarke,Novel
187,Craig Haagensen,Camera Operator
188,Brian Smyj,Stunts
189,Chuck Jeffreys,Stunts
190,Margery Simkin,Casting
191,Roger Pratt,Director of Photography
192,Charles Roven,Producer
193,Terry Gilliam,Director
194,Matt Miller,Rigging Grip
195,Alberto Iglesias,Original Music Composer
196,Vicente Amigo,Original Music Composer
197,Michel Ruben,Producer
198,Scott Silver,Author
199,Brian Grazer,Producer
200,Curtis Hanson,Producer
201,William Goldman,Screenplay
202,Hany Abu-Assad,Author
203,Peter Hermann,Line Producer
204,Michael Kamen,Original Music Composer
205,Charles McKeown,Screenplay
206,Arnon Milchan,Producer
207,Tom Stoppard,Screenplay
208,T Bone Burnett,Executive Music Producer
209,James Mangold,Screenplay
210,James Keach,Producer
211,Alan C. Blomquist,Executive Producer
212,Phedon Papamichael,Director of Photography
213,Heidi Pascoe,Stunts
214,Brian Avery,Stunts
215,Adruitha Lee,Color Designer
216,Lori McCoy-Bell,Key Hair Stylist
217,Robert Stromberg,Visual Effects Supervisor
218,Johnny Cash,Book
219,Rick Avery,Stunt Coordinator
220,Mimi Lesseos,Stunts
221,Buddy Van Horn,Stunt Coordinator
222,Robert Lorenz,Assistant Director
223,Kyle Eastwood,Additional Music
224,Gary Lucchesi,Executive Producer
225,Paul Haggis,Screenplay
226,Stephen Daldry,Director
227,Tessa Ross,Producer
228,Jina Jay,Casting
229,Tony Kaye,Director
230,Thomas L. Bellissimo,Special Effects Supervisor
231,Brian Witten,Co-Executive Producer
232,Valerie McCaffrey,Casting
233,Janusz Kamiński,Director of Photography
234,Michael Kahn,Editor
235,Josh Friedman,Author
236,David Koepp,Author
237,Steven Spielberg,Director
238,Kathleen Kennedy,Producer
239,H.G. Wells,Novel
240,Gary A. Hecker,Foley
241,Tim Burton,Producer
242,Matthew Barry,Casting
243,Victoria Thomas,Casting
244,Colleen Atwood,Costume Design
245,Kyle Balda,Animation
246,Chris Lebenzon,Editor
247,Danny Elfman,Original Music Composer
248,Richard Linklater,Screenplay
249,Emma Thomas,Associate Producer
250,John Papsidera,Casting
251,Wally Pfister,Director of Photography
252,Aaron Ryder,Executive Producer
253,Suzanne Todd,Producer
254,Christopher Nolan,Screenplay
255,Jonathan Nolan,Author
256,Ridley Scott,Director
257,Lawrence G. Paull,Production Design
258,Marci Liroff,Casting
259,Michael Kaplan,Costume Design
260,Hampton Fancher,Screenplay
261,Philip K. Dick,Thanks
262,Dun Tan,Original Music Composer
263,Zhang Yimou,Author
264,Christopher Doyle,Director of Photography
265,Kim Krizan,Characters
266,Ethan Hawke,Screenplay
267,Julie Delpy,Screenplay
268,Hayao Miyazaki,Director
269,Isao Takahata,Producer
270,Joe Hisaishi,Original Music Composer
271,Francine Maisler,Casting
272,Paul Rubell,Editor
273,William Goldenberg,Editor
274,Pieter Jan Brugge,Producer
275,Michael Mann,Writer
276,Hans Bjerno,Helicopter Camera
277,Janty Yates,Costume Design
278,Chris Kentis,Director
279,Tony Lamberti,Sound Re-Recording Mixer
280,Graeme Revell,Original Music Composer
281,Lawrence Kasdan,Screenplay
282,Reg Harding,Stunts
283,Robert Watts,Associate Producer
284,Ben Burtt,Sound Designer
285,Douglas Slocombe,Director of Photography
286,Peter Diamond,Stunts
287,Frank Marshall,Producer
288,Philip Kaufman,Story
289,Michael Bay,Production Intern
290,Carl-Friedrich Koschnick,Director of Photography
291,Michel Houellebecq,Novel
292,Martin Todsharow,Original Music Composer
293,Peter Howitt,Set Decoration
294,Anthony Powell,Costume Design
295,Jim Lovelett,Stunt Coordinator
296,Emile Ardolino,Director
297,Bonnie Timmermann,Casting
298,Kenny Ortega,Choreographer
299,Nick Gillard,Stunts
300,Tip Tipping,Stunts
301,Wayne Toth,Special Effects
302,"Daniel Petrie, Jr.",Screenplay
303,Harold Faltermeyer,Original Music Composer
304,Martin Brest,Director
305,Don Simpson,Producer
306,Bruce Surtees,Director of Photography
307,Luis Buñuel,Author
308,Michael Glawogger,Author
309,Saul Bass,Title Graphics
310,Otto Preminger,Producer
311,Duke Ellington,Original Music Composer
312,Jonathan Hensleigh,Screenplay
313,Gale Anne Hurd,Producer
314,J.J. Abrams,Screenplay
315,Tony Gilroy,Screenplay
316,Ali Akdeniz,Production Manager
317,Yolanda Toussieng,Hair Department Head
318,Tony Scott,Director
319,Larry Ferguson,Screenplay
320,Eddie Murphy,Story
321,Rosanna Norton,Costume Design
322,Donald Kushner,Producer
323,Lisa Gerrard,Original Music Composer
324,William Nicholson,Screenplay
325,John Logan,Screenplay
326,Pietro Scalia,Editor
327,Alexander Witt,Second Unit Cinematographer
328,Ismael Martínez,Stunts
329,Cayetana Guillén Cuervo,Thanks
330,Guy Ritchie,Director
331,Matthew Vaughn,Producer
332,Susanne Bier,Director
333,Anders Thomas Jensen,Screenplay
334,Kris Kristofferson,Thanks
335,Michael Chapman,Director of Photography
336,Michael Phillips,Producer
337,Martin Scorsese,Director
338,Paul Schrader,Writer
339,Tom Tykwer,Original Music Composer
340,Wolfgang Becker,Thanks
341,Bob Gale,Producer
342,Eric Stoltz,Stunts
343,Dean Cundey,Director of Photography
344,Charles L. Campbell,Supervising Sound Editor
345,Walter Scott,Stunt Coordinator
346,John McTiernan,Director
347,Joel Silver,Producer
348,Lawrence Gordon,Producer
349,Donald McAlpine,Director of Photography
350,Frank Mitchell,Greensman
351,Craig R. Baxley,Stunt Coordinator
352,James B. Campbell,Orchestrator
353,Charles A. Tamburro,Aerial Coordinator
354,Noel Gallagher,Music
355,Trudie Styler,Executive Producer
356,Zbigniew Preisner,Original Music Composer
357,Slawomir Idziak,Director of Photography
358,Agnieszka Holland,Author
359,Krzysztof Kieślowski,Screenplay
360,Marin Karmitz,Producer
361,Krzysztof Piesiewicz,Author
362,Glenn R. Wilder,Stunts
363,Dick Ziker,Stunts
364,Brian De Palma,Director
365,"Thomas Rosales, Jr.",Stunts
366,Mario Roberts,Stunts
367,John A. Alonzo,Director of Photography
368,Giorgio Moroder,Original Music Composer
369,Oliver Stone,Screenplay
370,Patricia Norris,Costume Design
371,Scott Wilder,Stunts
372,Ib Tardini,Producer
373,Lone Scherfig,Author
374,Kim Ki-duk,Author
375,James Newton Howard,Original Music Composer
376,Garry Marshall,Director
377,Raja Gosnell,Editor
378,J. F. Lawton,Author
379,Ethan Coen,Writer
380,Carter Burwell,Original Music Composer
381,Joel Coen,Director
382,Tim Bevan,Executive Producer
383,Eric Fellner,Executive Producer
384,Lisa Mozden,Assistant Editor
385,Woody Allen,Director
386,Letty Aronson,Producer
387,Jack Rollins,Co-Executive Producer
388,Patricia Kerrigan DiCerto,Casting
389,Art Linson,Producer
390,Bill Pankow,Editor
391,Ennio Morricone,Original Music Composer
392,Eliot Ness,Novel
393,David Mamet,Writer
394,Graham Burke,Executive Producer
395,Gabriella Pescucci,Costume Design
396,John August,Screenplay
397,Roald Dahl,Author
398,Brad Grey,Producer
399,Richard D. Zanuck,Producer
400,Bruce Berman,Executive Producer
401,Peter Jackson,Screenplay
402,J.R.R. Tolkien,Novel
403,Amy Hubbard,Casting
404,Andrew Lesnie,Director of Photography
405,Philippa Boyens,Screenplay
406,Fran Walsh,Screenplay
407,Saul Zaentz,Executive Producer
408,Dan Hennah,Set Decoration
409,Peter S. Beagle,Screenplay
410,Ralph Bakshi,Director
411,Toshio Suzuki,Producer
412,Yoshifumi Kondô,Animation Supervisor
413,Seiji Okuda,Executive Producer
414,Nizou Yamamoto,Art Direction
415,Kazuo Oga,Art Direction
416,Albert Maysles,Director
417,David Maysles,Director
418,D.A. Pennebaker,Sound Recordist
419,Philip Stockton,Dialogue Editor
420,Bob Dylan,Original Music Composer
421,Tod Browning,Director
422,Harold Ramis,Producer
423,C.O. Erickson,Executive Producer
424,George Fenton,Original Music Composer
425,Steve Boyum,Stunts
426,Carl Laemmle Jr.,Producer
427,Philip Glass,Original Music Composer
428,Bram Stoker,Novel
429,Anthony Dod Mantle,Director of Photography
430,Søren Kragh-Jacobsen,Director
431,Richard Kelly,Screenplay
432,Mickey Giacomazzi,Stunt Coordinator
433,Drew Barrymore,Executive Producer
434,Ang Lee,Director
435,James Schamus,Producer
436,Larry McMurtry,Screenplay
437,Maxwell Anderson,Writer
438,Lewis Milestone,Director
439,Erich Maria Remarque,Novel
440,George Abbott,Screenplay
441,Arthur Edeson,Director of Photography
442,Edward L. Cahn,Editor
443,Wim Wenders,Director
444,Peter Handke,Author
445,Job Gosschalk,Casting
446,Peter Pau,Director of Photography
447,François Truffaut,Producer
448,Jean Constantin,Original Music Composer
449,Walter Hill,Director
450,Roger Spottiswoode,Author
